Feature,Importance
CustomerID_CUS0x7051,0.00048316346085442216
SSN_117-62-4809,0.0004817786699639734
"TypeofLoan_Student Loan, Payday Loan, Auto Loan, Payday Loan, Not Specified, Home Equity Loan, and Home Equity Loan",0.0004803107514143768
Name_Tomk,0.0004800339822618659
CreditHistoryAge_11 Years and 10 Months,0.0004794702446365738
SSN_263-53-9416,0.00047884224001542566
CustomerID_CUS0x6c2c,0.0004787189981881083
SSN_470-57-4222,0.00047706008456084115
SSN_187-79-6590,0.00047512351812407125
CustomerID_CUS0x6275,0.00047491209711513264
"TypeofLoan_Home Equity Loan, Credit-Builder Loan, Mortgage Loan, and Payday Loan",0.0004742620405387806
SSN_207-68-9585,0.00047405880199638566
CustomerID_CUS0x3b2e,0.00047405443972133835
CreditHistoryAge_26 Years and 5 Months,0.0004737720076725374
Name_Baczynskaq,0.0004731581551330638
CustomerID_CUS0x7db2,0.00047302361355629126
SSN_411-59-6345,0.00047287348265438554
CustomerID_CUS0x6468,0.0004725941720608961
Month_July,0.000471517456047764
"TypeofLoan_Payday Loan, Not Specified, Home Equity Loan, and Payday Loan",0.00047078578388101136
CustomerID_CUS0xaf5f,0.0004692992310440363
CustomerID_CUS0xc301,0.00046881067388627865
SSN_614-29-3992,0.0004672678313166785
SSN_936-93-4382,0.00046711589330269537
Name_Ransdell Piersono,0.00046695729325973767
CustomerID_CUS0x66d7,0.0004652403509579792
SSN_812-97-0609,0.00046467011496678786
Name_Katya Wachtelj,0.0004638061353620377
CustomerID_CUS0x54bd,0.00046378424094212776
SSN_020-38-9385,0.00046377011058039896
Name_Junkou,0.0004635024441422112
SSN_462-73-7328,0.00046341142174381234
CreditHistoryAge_30 Years and 11 Months,0.0004628262725966469
Month_May,0.0004617747009240563
CreditHistoryAge_24 Years and 3 Months,0.00046125900103354114
CreditHistoryAge_32 Years and 9 Months,0.0004593123111325987
Name_Deepao,0.0004590755762474161
CreditHistoryAge_26 Years and 8 Months,0.0004590569213321205
Name_Geigerq,0.0004576713015961494
PaymentBehaviour_HighspentSmallvaluepayments,0.0004576369679745608
"TypeofLoan_Student Loan, Personal Loan, Not Specified, and Not Specified",0.00045701974685062726
SSN_655-81-0974,0.0004569455993085707
SSN_246-36-9292,0.000456386512208839
"TypeofLoan_Debt Consolidation Loan, Auto Loan, and Auto Loan",0.00045627586689615655
SSN_330-62-1012,0.0004561552292665085
SSN_039-02-7101,0.00045615275768412094
SSN_961-65-0909,0.00045555425454256676
SSN_868-70-2218,0.0004552263976403219
SSN_746-01-3836,0.0004550748837854741
SSN_691-56-6885,0.0004549670721799111
Occupation_Architect,0.0004540828256452945
SSN_190-50-0587,0.0004519708989165567
SSN_339-01-5731,0.0004514519126147556
"TypeofLoan_Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Auto Loan, Not Specified, Debt Consolidation Loan, and Debt Consolidation Loan",0.00045033222861625555
SSN_242-04-7296,0.0004492728319773672
SSN_712-12-7095,0.0004482910887067553
Name_Wendellk,0.0004477481265722472
Name_Leahp,0.00044664238108428465
CustomerID_CUS0x6ff5,0.0004465486020128441
CreditHistoryAge_13 Years and 5 Months,0.0004464362777229324
Name_Moonq,0.0004462706190133603
CustomerID_CUS0xa801,0.00044542395854572844
CustomerID_CUS0x663b,0.00044488214772886984
Name_Claire Ruckini,0.00044434156341772416
SSN_536-31-0878,0.00044243215754217406
SSN_259-01-6271,0.00044232726924862324
SSN_389-25-0255,0.00044194164796847115
"TypeofLoan_Not Specified, Personal Loan, Home Equity Loan, and Auto Loan",0.00044017731564115003
Name_Carolineq,0.0004400748748646833
SSN_930-23-0780,0.0004373275907315366
CustomerID_CUS0x8425,0.00043710653797377397
Name_Krishnang,0.0004370346512059037
SSN_934-83-2341,0.0004370072831197173
SSN_448-68-0409,0.0004366216748365555
CustomerID_CUS0x41d3,0.00043653562167808124
Month_April,0.00043646392524077316
Name_Luciana Lopezv,0.0004361984594355873
CustomerID_CUS0x9ba5,0.0004361450053006212
Name_Charles Abbotta,0.00043601362478147364
"TypeofLoan_Not Specified, Debt Consolidation Loan, and Not Specified",0.00043584807650926314
SSN_682-75-1288,0.00043569051738142234
SSN_466-86-1830,0.00043419201807704146
SSN_410-63-8948,0.0004340322362034148
Name_Chikafumif,0.00043304805728431163
Name_James Regans,0.000432629563443392
CreditHistoryAge_28 Years and 4 Months,0.0004320660093903522
SSN_929-04-4055,0.0004306928684091215
SSN_732-05-7211,0.000430436069022445
Name_Hamzahi,0.00042911343263244827
SSN_707-41-4090,0.00042831468636559604
CustomerID_CUS0x1b85,0.0004252712059312369
CustomerID_CUS0xa80c,0.00042362087582834164
Name_arani Krishnand,0.0004226915995644933
Name_Tim McLaughlinz,0.0004200415342164657
SSN_835-67-2782,0.0004193416069444707
Name_Dhanya Skariachand,0.00041837878332282583
Name_Jane Leew,0.0004181004521721605
SSN_547-04-1695,0.00041700031943384645
SSN_547-23-7195,0.00041638691934437296
Name_B.d,0.00041622247517179715
SSN_118-75-1018,0.0004161551772222281
Name_Soham Chatterjeeg,0.00041597948455563105
Name_Annah,0.0004150524321519656
SSN_166-30-1674,0.0004149286954413748
CreditHistoryAge_25 Years and 2 Months,0.00041481211720589383
"TypeofLoan_Home Equity Loan, Payday Loan, Student Loan, Student Loan, Student Loan, Personal Loan, Student Loan, Payday Loan, and Auto Loan",0.00041445385582314755
"TypeofLoan_Student Loan, Payday Loan, Not Specified, and Student Loan",0.00041385187155949815
CustomerID_CUS0x413,0.00041347485064833844
Name_N.l,0.00041164412742147644
SSN_957-41-7466,0.000411026479816109
CustomerID_CUS0x1378,0.00041072564804680466
CustomerID_CUS0x6112,0.000410171438930827
CreditHistoryAge_11 Years and 8 Months,0.0004095703744300021
CustomerID_CUS0xac08,0.0004086663495040086
CreditHistoryAge_8 Years and 2 Months,0.00040746616161636807
CustomerID_CUS0x47d3,0.00040734506731196886
Name_Adrian Croftk,0.0004071509609062556
CreditHistoryAge_27 Years and 7 Months,0.0004062403841428088
"TypeofLoan_Credit-Builder Loan, Credit-Builder Loan, and Debt Consolidation Loan",0.0004061600110048276
SSN_447-00-0042,0.00040598873060348296
SSN_724-66-1705,0.0004055940357154525
CreditHistoryAge_3 Years and 0 Months,0.00040534955318943377
CustomerID_CUS0x8353,0.00040496087845758976
SSN_351-02-9110,0.00040401134140032394
CustomerID_CUS0x92a3,0.0004038928739409609
SSN_328-33-6328,0.0004029376197553176
Name_Douwe Miedemaz,0.0004027956827522293
SSN_002-04-1319,0.0004019820251644484
SSN_294-98-9820,0.0004014811184699703
SSN_603-95-6149,0.00039990662474792034
CustomerID_CUS0x4fa6,0.0003998357781304746
SSN_279-65-4803,0.00039980672595915987
"TypeofLoan_Credit-Builder Loan, Auto Loan, Home Equity Loan, Debt Consolidation Loan, and Personal Loan",0.0003997709012616708
"TypeofLoan_Auto Loan, Auto Loan, and Student Loan",0.00039865984041197693
CreditHistoryAge_33 Years and 0 Months,0.00039852954715296785
CustomerID_CUS0xa040,0.0003980469236555078
Name_Toonkelc,0.00039781928003510084
Name_Reijir,0.00039774464604277213
"TypeofLoan_Home Equity Loan, Home Equity Loan, Payday Loan, Personal Loan, Student Loan, Mortgage Loan, and Payday Loan",0.0003966866092321057
Name_Alistair Barrn,0.00039643649126774384
SSN_868-87-6401,0.0003958753921238371
Name_Jessica Dyew,0.00039573638098426957
CustomerID_CUS0x9884,0.0003957330751132212
"TypeofLoan_Auto Loan, Personal Loan, and Personal Loan",0.00039546315131961697
CreditHistoryAge_12 Years and 1 Months,0.0003953955369523227
SSN_552-02-3722,0.00039408437000229183
CreditHistoryAge_26 Years and 10 Months,0.0003931995742368628
CreditHistoryAge_24 Years and 2 Months,0.00039289372569299404
CreditHistoryAge_28 Years and 1 Months,0.0003924044849215434
CreditHistoryAge_8 Years and 5 Months,0.0003923613561221626
Name_Matto,0.0003923372364582587
CustomerID_CUS0x8a20,0.00039202830884790276
CustomerID_CUS0x2a52,0.0003909390014997484
Name_Vladimir Soldatkinb,0.00039085650422489656
"TypeofLoan_Auto Loan, Payday Loan, and Student Loan",0.00038978735109157796
SSN_557-60-6458,0.0003895740516657329
SSN_084-61-3398,0.0003886432845742809
CreditHistoryAge_14 Years and 11 Months,0.00038842906817970166
CustomerID_CUS0x6b2,0.00038831449344729036
"TypeofLoan_Mortgage Loan, Auto Loan, Debt Consolidation Loan, and Auto Loan",0.0003870849135964792
Name_Stevex,0.0003868951208995596
Name_Manoloq,0.00038675404736211835
CustomerID_CUS0x56e5,0.0003866199862125514
SSN_073-61-1093,0.00038645782348412317
CustomerID_CUS0x4dfe,0.0003863771735858431
Name_Goldsteinq,0.000385859123505836
SSN_193-51-4135,0.00038528832360591194
CreditHistoryAge_6 Years and 4 Months,0.0003839622352642093
"TypeofLoan_Debt Consolidation Loan, Payday Loan, Mortgage Loan, and Auto Loan",0.00038268148205255586
SSN_675-75-3709,0.00038195177424973784
